Order_ID,City,Order_Date,Time_Ordered,Delivery_Time_Minutes,Delivery_Person_Age,Order_Value,review_text
,Seattle,2023-10-30,14:26:00,29,25,86.05,"Average experience, nothing special."
,New York,2023-10-26,07:42:00,18,20,24.84,"Super fast, piping hot!"
ORD127824,Miami,2023-10-12,02:08:00,10,45,38.15,Driver was polite and food was hot.
ORD106814,Seattle,2023-10-28,07:39:00,21,46,50.73,Amazing and speedy delivery!
ORD900581,San Francisco,2023-10-08,13:50:00,26,41,78.39,Food was cold but driver was nice.
ORD662275,Houston,2023-10-03,11:28:00,35,24,72.96,Food was cold but driver was nice.
ORD479201,Seattle,2023-10-30,02:39:00,10,33,96.17,Amazing and speedy delivery!
ORD205907,San Francisco,2023-10-05,03:10:00,19,48,81.75,"Super fast, piping hot!"
ORD472528,Miami,2023-10-18,02:30:00,32,59,32.97,Food was cold but driver was nice.
ORD497887,Seattle,2023-10-12,15:24:00,41,54,38.06,Missing an item but otherwise fine.
ORD913694,Houston,2023-10-16,06:13:00,56,36,21.95,"Terrible cold food, completely unacceptable."
ORD429963,Seattle,2023-10-27,07:31:00,39,50,56.54,"Average experience, nothing special."
ORD377746,Seattle,2023-10-30,18:10:00,45,56,59.99,Missing an item but otherwise fine.
ORD329974,Miami,2023-10-28,01:23:00,49,50,24.55,Very late and spilled.
ORD260265,Miami,2023-10-03,15:28:00,11,23,55.4,"Super fast, piping hot!"
ORD654816,Miami,2023-10-28,14:53:00,10,19,86.43,"Super fast, piping hot!"
ORD663054,New York,2023-10-06,17:08:00,30,37,60.65,Missing an item but otherwise fine.
,Seattle,2023-10-22,03:36:00,10,35,117.05,Driver was polite and food was hot.
ORD211579,Chicago,2023-10-09,15:09:00,38,42,95.06,"Average experience, nothing special."
ORD656116,Miami,2023-10-26,01:09:00,20,39,66.3,Amazing and speedy delivery!
ORD972064,Miami,2023-10-06,14:12:00,33,24,23.99,"Average experience, nothing special."
ORD897549,Boston,2023-10-23,14:50:00,19,27,28.48,Driver was polite and food was hot.
ORD273148,Chicago,2023-10-23,03:09:00,27,53,94.3,Driver was polite and food was hot.
ORD518373,Seattle,2023-10-10,15:43:00,60,42,61.0,Restaurant ignored my instructions.
ORD359947,Miami,2023-10-25,01:20:00,32,33,15.76,"Average experience, nothing special."
,New York,2023-10-30,05:20:00,43,40,22.44,Food was cold but driver was nice.
ORD608993,Chicago,2023-10-12,07:58:00,31,49,99.79,Driver was polite and food was hot.
,San Francisco,2023-10-10,03:59:00,37,46,58.17,Driver was polite and food was hot.
ORD777568,Boston,2023-10-03,23:11:00,42,25,41.11,Missing an item but otherwise fine.
ORD246991,Chicago,2023-10-10,03:46:00,38,36,63.58,Driver was polite and food was hot.
ORD997546,New York,2023-10-04,22:21:00,25,34,32.46,Food was cold but driver was nice.
ORD520521,Chicago,2023-10-23,14:27:00,28,43,15.23,Food was cold but driver was nice.
ORD922157,Chicago,2023-10-19,06:27:00,32,31,46.15,Driver was polite and food was hot.
ORD668532,Seattle,2023-10-04,03:53:00,18,39,21.0,Amazing and speedy delivery!
ORD994141,New York,2023-10-28,02:05:00,24,30,22.19,Driver was polite and food was hot.
ORD346629,New York,2023-10-04,14:14:00,29,55,40.85,Driver was polite and food was hot.
,Miami,2023-10-28,13:23:00,49,39,113.14,Restaurant ignored my instructions.
ORD429445,San Francisco,2023-10-10,19:07:00,40,44,28.74,"Average experience, nothing special."
ORD431535,Houston,2023-10-30,21:04:00,61,58,119.84,Very late and spilled.
,Miami,2023-10-06,01:13:00,14,35,28.91,Amazing and speedy delivery!
ORD356150,Seattle,2023-10-17,09:13:00,24,38,79.23,Driver was polite and food was hot.
ORD800305,Seattle,2023-10-31,06:19:00,36,25,113.59,Missing an item but otherwise fine.
ORD212235,Miami,2023-10-07,14:41:00,29,32,90.35,Missing an item but otherwise fine.
ORD994343,Miami,2023-10-10,18:23:00,21,50,41.37,"Super fast, piping hot!"
,San Francisco,2023-10-03,19:30:00,19,27,81.9,Amazing and speedy delivery!
ORD563298,Miami,2023-10-13,10:08:00,35,19,26.75,Driver was polite and food was hot.
ORD975136,Chicago,2023-10-08,06:49:00,17,21,47.37,"Super fast, piping hot!"
ORD320281,Seattle,2023-10-03,07:35:00,43,25,52.14,"Average experience, nothing special."
ORD526117,Boston,2023-10-26,23:33:00,54,29,117.5,Very late and spilled.
ORD125990,Seattle,2023-10-09,13:24:00,25,40,97.15,"Average experience, nothing special."
ORD870763,Houston,2023-10-20,05:43:00,34,21,105.15,Food was cold but driver was nice.
ORD582662,San Francisco,2023-10-11,14:58:00,19,33,38.41,"Super fast, piping hot!"
ORD392136,San Francisco,2023-10-10,06:57:00,55,60,68.49,"Terrible cold food, completely unacceptable."
ORD128941,San Francisco,2023-10-25,21:42:00,10,30,75.96,Amazing and speedy delivery!
,Houston,2023-10-13,13:58:00,18,57,118.34,"Super fast, piping hot!"
ORD704596,San Francisco,2023-10-06,18:19:00,22,21,89.42,Amazing and speedy delivery!
ORD945687,Seattle,2023-10-01,13:51:00,10,31,53.24,Driver was polite and food was hot.
ORD446239,San Francisco,2023-10-04,16:26:00,24,26,90.57,Driver was polite and food was hot.
ORD799287,Miami,2023-10-15,04:02:00,17,27,35.14,"Super fast, piping hot!"
ORD282480,Houston,2023-10-18,18:08:00,38,54,102.54,Missing an item but otherwise fine.
ORD550770,Houston,2023-10-15,07:55:00,34,47,61.43,Missing an item but otherwise fine.
ORD932291,Chicago,2023-10-11,05:26:00,10,24,44.8,Driver was polite and food was hot.
ORD197923,Chicago,2023-10-30,07:21:00,40,31,30.47,Missing an item but otherwise fine.
ORD598216,Boston,2023-10-03,14:29:00,10,23,62.82,Driver was polite and food was hot.
ORD853240,Chicago,2023-10-30,03:53:00,24,60,87.2,Amazing and speedy delivery!
ORD329471,Boston,2023-10-06,08:26:00,13,52,63.78,Amazing and speedy delivery!
ORD989545,Seattle,2023-10-26,20:51:00,35,52,118.73,Driver was polite and food was hot.
ORD891937,Miami,2023-10-28,14:24:00,35,51,59.81,Driver was polite and food was hot.
ORD266889,Boston,2023-10-26,10:26:00,29,34,103.19,Missing an item but otherwise fine.
ORD646622,Seattle,2023-10-14,02:54:00,12,34,43.83,"Super fast, piping hot!"
ORD345884,Chicago,2023-10-05,00:38:00,28,28,39.28,Food was cold but driver was nice.
ORD167348,Houston,2023-10-08,10:55:00,43,40,71.97,Driver was polite and food was hot.
,Boston,2023-10-20,10:09:00,37,55,54.94,Food was cold but driver was nice.
ORD413118,Boston,2023-10-01,18:27:00,17,45,71.51,"Super fast, piping hot!"
ORD331251,New York,2023-10-26,08:32:00,18,43,50.29,"Super fast, piping hot!"
ORD981334,Chicago,2023-10-19,21:38:00,30,58,71.08,Driver was polite and food was hot.
ORD795205,Boston,2023-10-19,10:23:00,51,48,34.08,Very late and spilled.
ORD321941,San Francisco,2023-10-13,08:10:00,33,40,94.93,Driver was polite and food was hot.
ORD972335,New York,2023-10-18,18:07:00,10,53,20.47,"Super fast, piping hot!"
ORD171951,Boston,2023-10-17,10:16:00,43,20,114.71,Food was cold but driver was nice.
ORD751517,Miami,2023-10-10,13:46:00,34,32,63.83,Food was cold but driver was nice.
ORD275939,Boston,2023-10-13,03:54:00,36,29,116.3,Food was cold but driver was nice.
ORD427110,Houston,2023-10-06,10:05:00,10,31,22.98,"Super fast, piping hot!"
ORD831059,Boston,2023-10-30,01:07:00,14,57,99.58,"Super fast, piping hot!"
ORD464069,Miami,2023-10-27,06:09:00,10,60,50.83,Amazing and speedy delivery!
ORD210665,San Francisco,2023-10-20,14:49:00,25,59,108.62,Driver was polite and food was hot.
ORD556641,Miami,2023-10-22,10:10:00,38,53,96.34,Missing an item but otherwise fine.
ORD866536,San Francisco,2023-10-22,15:46:00,46,39,104.43,Restaurant ignored my instructions.
ORD572700,San Francisco,2023-10-05,10:40:00,30,20,66.9,Driver was polite and food was hot.
ORD322423,Boston,2023-10-16,07:01:00,46,35,50.74,"Terrible cold food, completely unacceptable."
ORD389688,New York,2023-10-28,15:10:00,13,34,90.61,Amazing and speedy delivery!
ORD351997,Houston,2023-10-23,17:40:00,23,60,89.74,Driver was polite and food was hot.
ORD197573,San Francisco,2023-10-21,21:32:00,25,56,53.75,"Average experience, nothing special."
ORD546173,San Francisco,2023-10-26,16:33:00,44,48,43.45,Missing an item but otherwise fine.
ORD856321,Chicago,2023-10-12,22:36:00,32,32,92.55,"Average experience, nothing special."
ORD897135,New York,2023-10-14,02:01:00,37,31,46.11,Missing an item but otherwise fine.
